"timestamp","count","uniques","date_retrieved"
"2021-02-01T00:00:00Z",1,1,2021-02-11
"2021-02-07T00:00:00Z",2,1,2021-02-11
"2021-01-31T00:00:00Z",1,1,2021-02-12
"2021-02-01T00:00:00Z",1,1,2021-02-12
"2021-02-07T00:00:00Z",2,1,2021-02-12
"2021-01-31T00:00:00Z",1,1,2021-02-13
"2021-02-01T00:00:00Z",1,1,2021-02-13
"2021-02-07T00:00:00Z",2,1,2021-02-13
"2021-01-31T00:00:00Z",1,1,2021-02-14
"2021-02-01T00:00:00Z",1,1,2021-02-14
"2021-02-07T00:00:00Z",2,1,2021-02-14
"2021-02-07T00:00:00Z",2,1,2021-02-15
"2021-02-07T00:00:00Z",2,1,2021-02-16
"2021-02-07T00:00:00Z",2,1,2021-02-17
"2021-02-07T00:00:00Z",2,1,2021-02-18
"2021-02-07T00:00:00Z",2,1,2021-02-19
"2021-02-07T00:00:00Z",2,1,2021-02-20
"2021-02-07T00:00:00Z",2,1,2021-02-21
"2021-02-21T00:00:00Z",1,1,2021-02-22
"2021-02-21T00:00:00Z",1,1,2021-02-23
"2021-02-21T00:00:00Z",1,1,2021-02-24
"2021-02-23T00:00:00Z",1,1,2021-02-24
"2021-02-21T00:00:00Z",1,1,2021-02-25
"2021-02-23T00:00:00Z",1,1,2021-02-25
"2021-02-21T00:00:00Z",1,1,2021-02-26
"2021-02-23T00:00:00Z",1,1,2021-02-26
"2021-02-25T00:00:00Z",2,1,2021-02-26
"2021-02-21T00:00:00Z",1,1,2021-02-28
"2021-02-23T00:00:00Z",1,1,2021-02-28
"2021-02-25T00:00:00Z",2,1,2021-02-28
"2021-02-21T00:00:00Z",1,1,2021-03-01
"2021-02-23T00:00:00Z",1,1,2021-03-01
"2021-02-25T00:00:00Z",2,1,2021-03-01
"2021-03-01T00:00:00Z",1,1,2021-03-01
"2021-02-21T00:00:00Z",1,1,2021-03-02
"2021-02-23T00:00:00Z",1,1,2021-03-02
"2021-02-25T00:00:00Z",2,1,2021-03-02
"2021-03-01T00:00:00Z",1,1,2021-03-02
"2021-02-21T00:00:00Z",1,1,2021-03-03
"2021-02-23T00:00:00Z",1,1,2021-03-03
"2021-02-25T00:00:00Z",2,1,2021-03-03
"2021-03-01T00:00:00Z",1,1,2021-03-03
"2021-02-21T00:00:00Z",1,1,2021-03-04
"2021-02-23T00:00:00Z",1,1,2021-03-04
"2021-02-25T00:00:00Z",2,1,2021-03-04
"2021-03-01T00:00:00Z",1,1,2021-03-04
"2021-02-21T00:00:00Z",1,1,2021-03-05
"2021-02-23T00:00:00Z",1,1,2021-03-05
"2021-02-25T00:00:00Z",2,1,2021-03-05
"2021-03-01T00:00:00Z",1,1,2021-03-05
"2021-02-21T00:00:00Z",1,1,2021-03-06
"2021-02-23T00:00:00Z",1,1,2021-03-06
"2021-02-25T00:00:00Z",2,1,2021-03-06
"2021-03-01T00:00:00Z",1,1,2021-03-06
"2021-02-23T00:00:00Z",1,1,2021-03-08
"2021-02-25T00:00:00Z",2,1,2021-03-08
"2021-03-01T00:00:00Z",1,1,2021-03-08
"2021-02-23T00:00:00Z",1,1,2021-03-09
"2021-02-25T00:00:00Z",2,1,2021-03-09
"2021-03-01T00:00:00Z",1,1,2021-03-09
"2021-02-25T00:00:00Z",2,1,2021-03-10
"2021-03-01T00:00:00Z",1,1,2021-03-10
"2021-02-25T00:00:00Z",2,1,2021-03-11
"2021-03-01T00:00:00Z",1,1,2021-03-11
"2021-03-01T00:00:00Z",1,1,2021-03-12
"2021-03-01T00:00:00Z",1,1,2021-03-13
2021-03-15
2021-03-16
"2021-03-17T00:00:00Z",1,1,2021-03-17
"2021-03-17T00:00:00Z",1,1,2021-03-18
"2021-03-17T00:00:00Z",1,1,2021-03-19
"2021-03-17T00:00:00Z",1,1,2021-03-20
"2021-03-17T00:00:00Z",1,1,2021-03-21
"2021-03-17T00:00:00Z",1,1,2021-03-22
"2021-03-17T00:00:00Z",1,1,2021-03-23
"2021-03-17T00:00:00Z",1,1,2021-03-24
"2021-03-17T00:00:00Z",1,1,2021-03-25
"2021-03-17T00:00:00Z",1,1,2021-03-26
"2021-03-17T00:00:00Z",1,1,2021-03-27
"2021-03-17T00:00:00Z",1,1,2021-03-28
"2021-03-17T00:00:00Z",1,1,2021-03-29
"2021-03-17T00:00:00Z",1,1,2021-03-30
2021-03-31
2021-04-01
2021-04-02
2021-04-03
2021-04-04
2021-04-05
2021-04-06
2021-04-07
2021-04-08
2021-04-09
2021-04-10
2021-04-11
2021-04-12
2021-04-13
2021-04-14
2021-04-15
2021-04-16
2021-04-17
2021-04-18
2021-04-19
2021-04-20
2021-04-21
2021-04-22
2021-04-23
2021-04-24
2021-04-25
2021-04-26
2021-04-27
2021-04-28
2021-04-29
"2021-04-30T00:00:00Z",1,1,2021-04-30
"2021-04-30T00:00:00Z",1,1,2021-05-01
"2021-05-01T00:00:00Z",1,1,2021-05-01
"2021-04-30T00:00:00Z",1,1,2021-05-02
"2021-05-01T00:00:00Z",1,1,2021-05-02
"2021-04-30T00:00:00Z",1,1,2021-05-03
"2021-05-01T00:00:00Z",1,1,2021-05-03
"2021-04-30T00:00:00Z",1,1,2021-05-04
"2021-05-01T00:00:00Z",1,1,2021-05-04
"2021-04-30T00:00:00Z",1,1,2021-05-05
"2021-05-01T00:00:00Z",1,1,2021-05-05
"2021-04-30T00:00:00Z",1,1,2021-05-06
"2021-05-01T00:00:00Z",1,1,2021-05-06
"2021-04-30T00:00:00Z",1,1,2021-05-07
"2021-05-01T00:00:00Z",1,1,2021-05-07
"2021-04-30T00:00:00Z",1,1,2021-05-08
"2021-05-01T00:00:00Z",1,1,2021-05-08
"2021-05-07T00:00:00Z",1,1,2021-05-08
"2021-04-30T00:00:00Z",1,1,2021-05-09
"2021-05-01T00:00:00Z",1,1,2021-05-09
"2021-05-07T00:00:00Z",1,1,2021-05-09
"2021-04-30T00:00:00Z",1,1,2021-05-10
"2021-05-01T00:00:00Z",1,1,2021-05-10
"2021-05-07T00:00:00Z",1,1,2021-05-10
"2021-04-30T00:00:00Z",1,1,2021-05-11
"2021-05-01T00:00:00Z",1,1,2021-05-11
"2021-05-07T00:00:00Z",1,1,2021-05-11
"2021-04-30T00:00:00Z",1,1,2021-05-12
"2021-05-01T00:00:00Z",1,1,2021-05-12
"2021-05-07T00:00:00Z",1,1,2021-05-12
"2021-05-12T00:00:00Z",1,1,2021-05-12
"2021-04-30T00:00:00Z",1,1,2021-05-13
"2021-05-01T00:00:00Z",1,1,2021-05-13
"2021-05-07T00:00:00Z",1,1,2021-05-13
"2021-05-12T00:00:00Z",1,1,2021-05-13
"2021-05-01T00:00:00Z",1,1,2021-05-14
"2021-05-07T00:00:00Z",1,1,2021-05-14
"2021-05-12T00:00:00Z",1,1,2021-05-14
"2022-08-08T00:00:00Z",1,1,2022-08-19
"2022-08-08T00:00:00Z",1,1,2022-08-20
"2022-08-08T00:00:00Z",1,1,2022-08-21
2022-08-22
2022-08-23
2022-08-24
2022-08-25
2022-08-26
2022-08-27
2022-08-28
2022-08-29
2022-08-30
2022-08-31
